Date,HomeTeam,AwayTeam,FTHG,FTAG
29/12/2018,Tottenham,Wolves,1,3
29/12/2018,Watford,Newcastle,1,1
30/12/2018,Burnley,West Ham,2,0
30/12/2018,Crystal Palace,Chelsea,0,1
30/12/2018,Man United,Bournemouth,4,1
30/12/2018,Southampton,Man City,1,3
1/1/2019,Arsenal,Fulham,4,1
1/1/2019,Cardiff,Tottenham,0,3
1/1/2019,Everton,Leicester,0,1
2/1/2019,Bournemouth,Watford,3,3
2/1/2019,Chelsea,Southampton,0,0
2/1/2019,Huddersfield,Burnley,1,2
2/1/2019,Newcastle,Man United,0,2
2/1/2019,West Ham,Brighton,2,2
2/1/2019,Wolves,Crystal Palace,0,2
3/1/2019,Man City,Liverpool,2,1
12/1/2019,Brighton,Liverpool,0,1
12/1/2019,Burnley,Fulham,2,1
12/1/2019,Cardiff,Huddersfield,0,0
12/1/2019,Chelsea,Newcastle,2,1
12/1/2019,Crystal Palace,Watford,1,2
12/1/2019,Leicester,Southampton,1,2
12/1/2019,West Ham,Arsenal,1,0
13/01/2019,Everton,Bournemouth,2,0
13/01/2019,Tottenham,Man United,0,1
14/01/2019,Man City,Wolves,3,0
19/01/2019,Arsenal,Chelsea,2,0
19/01/2019,Bournemouth,West Ham,2,0
19/01/2019,Liverpool,Crystal Palace,4,3
19/01/2019,Man United,Brighton,2,1
19/01/2019,Newcastle,Cardiff,3,0
19/01/2019,Southampton,Everton,2,1
19/01/2019,Watford,Burnley,0,0
19/01/2019,Wolves,Leicester,4,3
20/01/2019,Fulham,Tottenham,1,2
20/01/2019,Huddersfield,Man City,0,3
29/01/2019,Arsenal,Cardiff,2,1
29/01/2019,Fulham,Brighton,4,2
29/01/2019,Huddersfield,Everton,0,1
29/01/2019,Man United,Burnley,2,2
29/01/2019,Newcastle,Man City,2,1
29/01/2019,Wolves,West Ham,3,0
30/01/2019,Bournemouth,Chelsea,4,0
30/01/2019,Liverpool,Leicester,1,1
30/01/2019,Southampton,Crystal Palace,1,1
30/01/2019,Tottenham,Watford,2,1
2/2/2019,Brighton,Watford,0,0
2/2/2019,Burnley,Southampton,1,1
2/2/2019,Cardiff,Bournemouth,2,0
2/2/2019,Chelsea,Huddersfield,5,0
2/2/2019,Crystal Palace,Fulham,2,0
2/2/2019,Everton,Wolves,1,3
2/2/2019,Tottenham,Newcastle,1,0
3/2/2019,Leicester,Man United,0,1
3/2/2019,Man City,Arsenal,3,1
4/2/2019,West Ham,Liverpool,1,1
6/2/2019,Everton,Man City,0,2
9/2/2019,Brighton,Burnley,1,3
9/2/2019,Crystal Palace,West Ham,1,1
9/2/2019,Fulham,Man United,0,3
9/2/2019,Huddersfield,Arsenal,1,2
9/2/2019,Liverpool,Bournemouth,3,0
9/2/2019,Southampton,Cardiff,1,2
9/2/2019,Watford,Everton,1,0
10/2/2019,Man City,Chelsea,6,0
10/2/2019,Tottenham,Leicester,3,1
11/2/2019,Wolves,Newcastle,1,1
22/02/2019,Cardiff,Watford,1,5
22/02/2019,West Ham,Fulham,3,1
23/02/2019,Bournemouth,Wolves,1,1
23/02/2019,Burnley,Tottenham,2,1
23/02/2019,Leicester,Crystal Palace,1,4
23/02/2019,Newcastle,Huddersfield,2,0
24/02/2019,Arsenal,Southampton,2,0
24/02/2019,Man United,Liverpool,0,0
26/02/2019,Cardiff,Everton,0,3
26/02/2019,Huddersfield,Wolves,1,0
26/02/2019,Leicester,Brighton,2,1
26/02/2019,Newcastle,Burnley,2,0
27/02/2019,Arsenal,Bournemouth,5,1
27/02/2019,Chelsea,Tottenham,2,0
27/02/2019,Crystal Palace,Man United,1,3
27/02/2019,Liverpool,Watford,5,0
27/02/2019,Man City,West Ham,1,0
27/02/2019,Southampton,Fulham,2,0
2/3/2019,Bournemouth,Man City,0,1
2/3/2019,Brighton,Huddersfield,1,0
2/3/2019,Burnley,Crystal Palace,1,3
2/3/2019,Man United,Southampton,3,2
2/3/2019,Tottenham,Arsenal,1,1
2/3/2019,West Ham,Newcastle,2,0
2/3/2019,Wolves,Cardiff,2,0
3/3/2019,Everton,Liverpool,0,0
3/3/2019,Fulham,Chelsea,1,2
3/3/2019,Watford,Leicester,2,1
9/3/2019,Cardiff,West Ham,2,0
9/3/2019,Crystal Palace,Brighton,1,2
9/3/2019,Huddersfield,Bournemouth,0,2
9/3/2019,Leicester,Fulham,3,1
9/3/2019,Man City,Watford,3,1
9/3/2019,Newcastle,Everton,3,2
9/3/2019,Southampton,Tottenham,2,1
10/3/2019,Arsenal,Man United,2,0
10/3/2019,Chelsea,Wolves,1,1
10/3/2019,Liverpool,Burnley,4,2
16/03/2019,Bournemouth,Newcastle,2,2
16/03/2019,Burnley,Leicester,1,2
16/03/2019,West Ham,Huddersfield,4,3
17/03/2019,Everton,Chelsea,2,0
17/03/2019,Fulham,Liverpool,1,2
30/03/2019,Brighton,Southampton,0,1
30/03/2019,Burnley,Wolves,2,0
30/03/2019,Crystal Palace,Huddersfield,2,0
30/03/2019,Fulham,Man City,0,2
30/03/2019,Leicester,Bournemouth,2,0
30/03/2019,Man United,Watford,2,1
30/03/2019,West Ham,Everton,0,2
31/03/2019,Cardiff,Chelsea,1,2
31/03/2019,Liverpool,Tottenham,2,1
1/4/2019,Arsenal,Newcastle,2,0
2/4/2019,Watford,Fulham,4,1
2/4/2019,Wolves,Man United,2,1
3/4/2019,Chelsea,Brighton,3,0
